"Time","Temp Avg","Temp Low","Temp High","Heat Index","Wind Chill","Temp (Day) Low","Temp (Day) High","Hum Avg","Hum Low","Hum High","Dew Point","Hum (Day) Low","Hum (Day) High","Baro Avg","Baro Low","Baro High","Baro (Day) Low","Baro (Day) High","Windspeed","Wind Direction","Gust","Gust Direction","Gust (Day) Max","Gust (Day) Direction","Leaf Wetness (Minutes)","Leaf Wetness (Day)","Solar Radiation Avg","Solar Radiation Sum (Interval)","Solar Radiation Sum (Day)","Interval Precip","Day Precip","Inside Temp Avg","Inside Temp Low","Inside Temp High","Inside Temp (Day) Low","Inside Temp (Day) High","Station Voltage","UV Index","Battery Voltage 2"
"2018-06-14 00:00:00","14.2",,,"14.2","14.2",,,"74",,,"9.7",,,"724.1",,,,,"2.7","90","8.7",,,,,,"0",,,"0.0","0.0",,,,,,"6.5",,"13.0"
"2018-06-14 00:15:00","14.2",,,"14.2","14.2",,,"72",,,"9.2",,,"724.0",,,,,"3.2","90","9.0",,,,,,"0",,,"0.0","0.0",,,,,,"6.5",,"13.0"
"2018-06-14 00:30:00","14.1",,,"14.1","14.1",,,"71",,,"8.9",,,"723.9",,,,,"5.0","90","9.3",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 00:45:00","14.4",,,"14.4","14.4",,,"71",,,"9.2",,,"723.8",,,,,"4.5","90","6.8",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 01:00:00","14.1",,,"14.1","14.1",,,"72",,,"9.1",,,"723.7",,,,,"5.5","90","7.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 01:15:00","14.2",,,"14.2","14.2",,,"74",,,"9.6",,,"723.6",,,,,"3.1","90","5.3",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 01:30:00","14.1",,,"14.1","14.1",,,"74",,,"9.6",,,"723.5",,,,,"0.6","90","3.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 01:45:00","13.8",,,"13.8","13.8",,,"74",,,"9.2",,,"723.4",,,,,"2.6","90","6.8",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 02:00:00","13.7",,,"13.7","13.7",,,"73",,,"8.9",,,"723.4",,,,,"4.5","90","6.8",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 02:15:00","13.8",,,"13.8","13.8",,,"73",,,"9.0",,,"723.3",,,,,"4.3","90","7.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 02:30:00","13.8",,,"13.8","13.8",,,"74",,,"9.3",,,"723.2",,,,,"5.6","90","8.2",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 02:45:00","13.9",,,"13.9","13.9",,,"75",,,"9.6",,,"723.3",,,,,"2.9","90","4.5",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"13.0"
"2018-06-14 03:00:00","13.9",,,"13.9","13.9",,,"74",,,"9.4",,,"723.2",,,,,"1.0","90","3.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 03:15:00","14.0",,,"14.0","14.0",,,"73",,,"9.2",,,"723.2",,,,,"0.5","90","3.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 03:30:00","14.2",,,"14.2","14.2",,,"72",,,"9.2",,,"723.2",,,,,"3.5","90","7.1",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 03:45:00","14.2",,,"14.2","14.2",,,"71",,,"9.1",,,"723.3",,,,,"1.1","90","4.2",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 04:00:00","13.9",,,"13.9","13.9",,,"71",,,"8.8",,,"723.3",,,,,"1.9","90","5.3",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 04:15:00","13.8",,,"13.8","13.8",,,"72",,,"8.8",,,"723.4",,,,,"3.5","90","6.4",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 04:30:00","13.8",,,"13.8","13.8",,,"73",,,"9.0",,,"723.4",,,,,"5.6","90","9.3",,,,,,"0",,,"0.0","0.0",,,,,,"6.3",,"12.9"
"2018-06-14 04:45:00","13.7",,,"13.7","13.7",,,"72",,,"8.8",,,"723.3",,,,,"3.7","90","6.4",,,,,,"0",,,"0.0","0.0",,,,,,"6.4",,"12.9"
"2018-06-14 05:00:00","13.9",,,"13.9","13.9",,,"70",,,"8.6",,,"723.4",,,,,"1.9","90","5.6",,,,,,"0",,,"0.0","0.0",,,,,,"6.3",,"12.9"
"2018-06-14 05:15:00","13.8",,,"13.8","13.8",,,"70",,,"8.4",,,"723.5",,,,,"1.0","90","4.2",,,,,,"0",,,"0.0","0.0",,,,,,"6.3",,"12.9"
"2018-06-14 05:30:00","13.6",,,"13.6","13.6",,,"71",,,"8.4",,,"723.6",,,,,"0.5","90","3.7",,,,,,"1",,,"0.0","0.0",,,,,,"6.3",,"12.9"
